%time,field.x,field.y,field.z,real->,field.x,field.y
1376085765011730000,313,18,0,,-165.226013184,58
1376085765022570000,313,18,0,,-165.226013184,58
1376085765031080000,305,20,0,,-165.226013184,58
1376085765045630000,305,20,0,,-165.226013184,58
1376085765057890000,305,20,0,,-165.226013184,58
1376085765071490000,305,18,0,,-165.226013184,58
1376085765084540000,305,18,0,,-165.226013184,58
1376085765095940000,299,22,0,,-165.226013184,58
1376085765108810000,299,22,0,,-165.226013184,58
1376085765122140000,297,24,0,,-165.226013184,58
1376085765133210000,297,24,0,,-165.226013184,58
1376085765148380000,297,24,0,,-165.226013184,58
1376085765163230000,297,24,0,,-165.226013184,58
1376085765178370000,297,26,0,,-165.226013184,58
1376085765191480000,297,26,0,,-165.226013184,58
1376085765199480000,297,28,0,,-165.226013184,58
1376085765213670000,297,28,0,,-165.226013184,58
1376085765226250000,295,24,0,,-165.226013184,58
1376085765234510000,295,24,0,,-165.226013184,58
1376085765241630000,295,24,0,,-165.226013184,58
1376085765249980000,293,30,0,,-165.226013184,58
1376085765257510000,293,30,0,,-165.226013184,58
1376085765268470000,293,30,0,,-165.226013184,58
1376085765283090000,293,32,0,,-165.226013184,58
1376085765298230000,293,32,0,,-165.226013184,58
1376085765312000000,293,32,0,,-165.226013184,58
1376085765325510000,293,32,0,,-165.226013184,58
1376085765336040000,289,34,0,,-165.226013184,58
1376085765346310000,289,34,0,,-165.226013184,58
1376085765358240000,289,34,0,,-165.226013184,58
1376085765370370000,285,36,0,,-165.226013184,58
1376085765382340000,285,36,0,,-165.226013184,58
1376085765393330000,283,38,0,,-165.226013184,58
1376085765404150000,283,38,0,,-165.226013184,58
1376085765413600000,283,38,0,,-165.226013184,58
1376085765426930000,277,40,0,,-165.226013184,58
1376085765440680000,277,40,0,,-165.226013184,58
1376085765454030000,273,42,0,,-165.226013184,58
1376085765467010000,273,42,0,,-165.226013184,58
1376085765482180000,263,44,0,,-165.226013184,58
1376085765496960000,257,44,0,,-165.226013184,58
1376085765512700000,17,5,0,,74.0333328247,19
1376085765526270000,2,7,0,,72.1821670532,19
1376085765540320000,1,7,0,,68.4441833496,19
1376085765550540000,6,9,0,,66.6408157349,19
1376085765559310000,4,9,0,,64.8789901733,19
1376085765573010000,3,7,0,,61.2042007446,19
1376085765585730000,3,7,0,,61.2042007446,19
1376085765599120000,15,7,0,,61.2042007446,19
1376085765606850000,15,7,0,,61.2042007446,19
1376085765616500000,4,9,0,,52.2339668274,19
1376085765630690000,4,9,0,,52.2339668274,19
1376085765645020000,4,9,0,,52.2339668274,19
1376085765658270000,50,13,0,,-12.004032135,23
1376085765672070000,47,13,0,,-9.1677045822,23
1376085765679110000,15,11,0,,-7.5487356186,23
1376085765687610000,13,11,0,,-5.6761760712,23
1376085765701730000,13,11,0,,-5.6761760712,23
1376085765711070000,3,13,0,,-5.6761760712,23
1376085765720160000,3,13,0,,-5.6761760712,23
1376085765728600000,28,10,0,,-30.481595993,20
1376085765736420000,19,6,0,,-31.535150528,20
1376085765750350000,23,7,0,,-35.8711662292,21
1376085765765070000,21,7,0,,-39.7673606873,21
1376085765779770000,22,8,0,,-40.8725090027,22
1376085765792340000,16,4,0,,-40.8725090027,22
1376085765799960000,11,2,0,,-35.047504425,20
1376085765812730000,9,2,0,,-37.3280410767,20
1376085765828340000,10,3,0,,-38.4754142761,21
1376085765840600000,29,8,0,,-57.2195930481,26
1376085765854590000,24,8,0,,-58.140296936,26
1376085765867880000,18,4,0,,-58.140296936,26
1376085765881840000,14,3,0,,-54.4106559753,25
1376085765894490000,16,4,0,,-56.5446739197,26
1376085765903750000,8,3,0,,-58.8720016479,27
1376085765911870000,9,4,0,,-59.3993034363,28
1376085765923260000,11,5,0,,-61.2301254272,29
1376085765934690000,5,5,0,,-61.6410217285,29
1376085765949640000,7,6,0,,-63.3043670654,30
1376085765961380000,2,4,0,,-64.8842773438,30
1376085765971990000,3,5,0,,-65.7036209106,31
1376085765982440000,0,3,0,,-66.9642333984,31
1376085765994200000,2,3,0,,-68.3387451172,31
1376085766001720000,1,3,0,,-69.2723312378,31
1376085766014090000,2,4,0,,-70.79271698,32
1376085766025850000,3,4,0,,-71.7339935303,32
1376085766041340000,3,3,0,,-73.9040298462,33
1376085766054400000,177,4,0,,107.9451828,34
1376085766063110000,181,2,0,,107.9451828,34
1376085766075690000,181,2,0,,107.9451828,34
1376085766083960000,181,2,0,,107.9451828,34
1376085766093920000,62,19,0,,-11.5410776138,17
1376085766106270000,66,19,0,,-7.5526752472,17
1376085766114030000,69,18,0,,-4.9721927643,18
1376085766126550000,77,20,0,,-2.271743536,18
1376085766140090000,84,19,0,,4.0985722542,19
1376085766152190000,87,23,0,,7.8681330681,19
1376085766161720000,89,23,0,,9.1525878906,19
1376085766172710000,89,7,0,,-173.837219238,37
1376085766187630000,92,6,0,,-176.518005371,38
1376085766203310000,88,6,0,,-178.558349609,38
1376085766213830000,269,6,0,,179.822387695,38
1376085766228690000,271,8,0,,177.013305664,38
1376085766243590000,259,6,0,,174.986282349,38
1376085766257670000,262,8,0,,164.212463379,40
1376085766270140000,261,8,0,,163.323669434,40
1376085766283620000,265,8,0,,161.378585815,40
1376085766295180000,263,10,0,,159.93862915,38
1376085766305120000,262,10,0,,158.951385498,38
1376085766313390000,271,8,0,,157.875335693,38
1376085766322400000,270,8,0,,156.714126587,38
1376085766330660000,270,8,0,,156.1665802,38
1376085766340540000,270,8,0,,154.829406738,38
1376085766354360000,270,8,0,,154.829406738,38
1376085766367430000,273,34,0,,153.396942139,82
1376085766376620000,273,34,0,,153.209533691,82
1376085766385620000,272,34,0,,152.665206909,82
1376085766394700000,276,34,0,,152.494155884,82
1376085766405100000,275,34,0,,151.708190918,82
1376085766412600000,275,34,0,,151.315261841,82
1376085766424460000,274,28,0,,150.744293213,82
1376085766437630000,274,28,0,,150.171356201,82
1376085766450570000,273,28,0,,149.677566528,82
1376085766462430000,273,28,0,,149.192398071,82
1376085766474220000,271,23,0,,143.85987854,79
1376085766485560000,271,22,0,,143.306350708,78
1376085766498210000,261,16,0,,133.786743164,40
1376085766511850000,264,11,0,,132.763824463,39
1376085766522990000,248,13,0,,116.303855896,37
1376085766534670000,251,12,0,,115.309387207,36
1376085766543750000,251,12,0,,115.309387207,36
1376085766556820000,243,11,0,,105.591644287,31
1376085766568960000,242,12,0,,104.922767639,30
1376085766582100000,244,10,0,,104.922767639,30
1376085766596730000,244,10,0,,104.922767639,30
1376085766608640000,248,6,0,,104.922767639,30
1376085766617500000,202,8,0,,58.2263717651,28
1376085766631140000,203,10,0,,59.1649589539,27
1376085766641430000,209,7,0,,59.4162902832,25
1376085766653880000,210,8,0,,60.3400535583,24
1376085766666980000,210,5,0,,62.6683959961,23
1376085766678660000,211,6,0,,63.1035690308,22
1376085766688880000,212,7,0,,64.8933563232,21
1376085766698670000,218,3,0,,64.8933563232,21
1376085766713390000,222,6,0,,68.4979782104,18
1376085766727350000,203,5,0,,47.6764831543,15
1376085766739330000,214,6,0,,58.6552009583,14
1376085766752560000,222,6,0,,60.5327987671,12
1376085766763460000,224,7,0,,62.936882019,11
1376085766771220000,234,6,0,,64.9979934692,10
